Mitocheck_Phenotypic_Class	frame_details
Grape	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00092___X0206___Y0502
Grape	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00092___X0607___Y0278
Grape	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00092___X0517___Y0292
Grape	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00092___X0523___Y0819
Grape	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00092___X0601___Y0190
Grape	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00092___X1103___Y0319
Grape	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00055___X1242___Y0633
Grape	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00055___X0136___Y0170
Grape	PLLT0084_46--ex2005_08_03--sp2005_07_07--tt17--c4___P00003_01___T00079___X0294___Y0142
Grape	PLLT0091_30--ex2005_08_12--sp2005_07_26--tt17--c3___P00169_01___T00042___X1243___Y0869
Grape	PLLT0091_30--ex2005_08_12--sp2005_07_26--tt17--c3___P00169_01___T00042___X0787___Y0603
Grape	PLLT0101_01--ex2005_12_16--sp2005_08_15--tt17--c5___P00277_01___T00065___X1152___Y0916
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00046___X0336___Y0939
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00046___X0848___Y0421
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00046___X0642___Y0518
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00046___X0035___Y0959
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00046___X0797___Y0910
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00046___X1278___Y0951
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00060___X0282___Y0562
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00060___X0500___Y0557
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00060___X0816___Y0259
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00060___X0840___Y0424
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00060___X1280___Y0941
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00060___X1028___Y0242
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00060___X0032___Y0955
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00060___X0617___Y0501
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00060___X0949___Y0372
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00060___X0373___Y0912
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00077___X0321___Y0934
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00077___X0623___Y0502
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00077___X0833___Y0423
Grape	PLLT0157_04--ex2006_01_20--sp2005_10_27--tt17--c5___P00005_01___T00077___X1296___Y0919
Interphase	PLLT0013_38--ex2005_05_06--sp2005_04_11--tt163--c3___P00042_01___T00046___X1070___Y0636
Interphase	PLLT0013_38--ex2005_05_06--sp2005_04_11--tt163--c3___P00042_01___T00046___X1097___Y0571
Interphase	PLLT0013_38--ex2005_05_06--sp2005_04_11--tt163--c3___P00042_01___T00046___X1076___Y0598
Interphase	PLLT0013_38--ex2005_05_06--sp2005_04_11--tt163--c3___P00042_01___T00046___X1145___Y0575
Interphase	PLLT0013_38--ex2005_05_06--sp2005_04_11--tt163--c3___P00042_01___T00046___X1145___Y0615
Interphase	PLLT0013_38--ex2005_05_06--sp2005_04_11--tt163--c3___P00042_01___T00046___X0161___Y0811
Interphase	PLLT0013_38--ex2005_05_06--sp2005_04_11--tt163--c3___P00042_01___T00046___X1123___Y0626
Interphase	PLLT0013_38--ex2005_05_06--sp2005_04_11--tt163--c3___P00042_01___T00046___X1122___Y0570
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00069___X0708___Y0382
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00069___X0256___Y0373
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00069___X0335___Y0995
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00069___X0256___Y0405
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00069___X0721___Y0418
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00069___X0710___Y0979
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00069___X0204___Y0427
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00069___X0112___Y0470
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00069___X0683___Y0971
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00069___X1081___Y0330
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00069___X0229___Y0423
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00076___X0107___Y0735
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00076___X0392___Y0446
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00076___X0142___Y0728
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00076___X0745___Y0390
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00076___X1086___Y0299
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00076___X0208___Y0393
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00076___X0630___Y0585
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00076___X0113___Y0794
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00076___X1082___Y0327
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00076___X1006___Y0335
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00092___X0546___Y0522
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00092___X0577___Y0535
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00092___X0171___Y0401
Interphase	PLLT0014_12--ex2005_05_27--sp2005_04_11--tt18--c4___P00159_01___T00092___X0692___Y0398
Interphase	PLLT0019_06--ex2006_08_09--sp2005_04_18--tt17--c4___P00140_01___T00069___X0299___Y0865
Interphase	PLLT0019_06--ex2006_08_09--sp2005_04_18--tt17--c4___P00140_01___T00069___X0860___Y0431
Interphase	PLLT0019_06--ex2006_08_09--sp2005_04_18--tt17--c4___P00140_01___T00069___X0211___Y0970
Interphase	PLLT0019_06--ex2006_08_09--sp2005_04_18--tt17--c4___P00140_01___T00069___X0831___Y0440
Interphase	PLLT0019_06--ex2006_08_09--sp2005_04_18--tt17--c4___P00140_01___T00082___X0866___Y0810
Interphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00029___X0117___Y0596
Interphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00029___X0061___Y0597
Interphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00029___X0369___Y0540
Interphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00029___X1177___Y0683
Interphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00029___X1061___Y0268
Interphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00029___X0214___Y0460
Interphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00086___X0281___Y0535
Interphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00086___X1237___Y0092
Interphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00086___X0259___Y0561
Interphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00086___X1254___Y0063
Interphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00086___X0743___Y0509
Interphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00086___X1082___Y0734
Interphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00086___X0763___Y0539
Interphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00086___X0658___Y0278
Interphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00086___X1305___Y0723
Interphase	PLLT0023_04--ex2005_09_09--sp2005_04_19--tt17--c4___P00005_01___T00086___X1320___Y0164
Interphase	PLLT0026_22--ex2005_06_01--sp2005_04_26--tt17--c5___P00258_01___T00024___X1117___Y0549
Interphase	PLLT0026_22--ex2005_06_01--sp2005_04_26--tt17--c5___P00258_01___T00024___X0911___Y0037
Interphase	PLLT0026_22--ex2005_06_01--sp2005_04_26--tt17--c5___P00258_01___T00024___X1257___Y0133
Interphase	PLLT0026_22--ex2005_06_01--sp2005_04_26--tt17--c5___P00258_01___T00024___X0133___Y0774
Interphase	PLLT0026_22--ex2005_06_01--sp2005_04_26--tt17--c5___P00258_01___T00024___X0103___Y0798
Interphase	PLLT0026_22--ex2005_06_01--sp2005_04_26--tt17--c5___P00258_01___T00024___X1039___Y0393
Interphase	PLLT0026_22--ex2005_06_01--sp2005_04_26--tt17--c5___P00258_01___T00024___X0940___Y0059
Interphase	PLLT0026_22--ex2005_06_01--sp2005_04_26--tt17--c5___P00258_01___T00024___X0737___Y0474
Interphase	PLLT0026_22--ex2005_06_01--sp2005_04_26--tt17--c5___P00258_01___T00024___X0170___Y0758
Interphase	PLLT0026_22--ex2005_06_01--sp2005_04_26--tt17--c5___P00258_01___T00024___X0925___Y0100
Interphase	PLLT0026_22--ex2005_06_01--sp2005_04_26--tt17--c5___P00258_01___T00024___X0896___Y0075
Interphase	PLLT0026_22--ex2005_06_01--sp2005_04_26--tt17--c5___P00258_01___T00024___X1118___Y0575
Interphase	PLLT0027_44--ex2005_06_03--sp2005_04_27--tt17--c5___P00292_01___T00091___X0222___Y0776
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00016___X0818___Y0429
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00016___X0813___Y0254
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00016___X0770___Y0163
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00016___X0829___Y0309
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00016___X0815___Y0463
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00016___X0980___Y0405
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00016___X0812___Y0373
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00016___X0738___Y0203
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00016___X0741___Y0110
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00016___X0941___Y0119
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00016___X0831___Y0190
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00016___X0796___Y0329
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00016___X0754___Y0310
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00016___X0931___Y0162
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00016___X0750___Y0284
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00016___X0978___Y0361
Interphase	PLLT0028_14--ex2005_06_10--sp2005_04_29--tt16--c3___P00129_01___T00054___X0726___Y0636
Interphase	PLLT0038_08--ex2005_06_15--sp2005_05_10--tt17--c5___P00250_01___T00053___X0931___Y0018
Interphase	PLLT0038_08--ex2005_06_15--sp2005_05_10--tt17--c5___P00250_01___T00053___X0966___Y0229
Interphase	PLLT0038_08--ex2005_06_15--sp2005_05_10--tt17--c5___P00250_01___T00053___X0316___Y0514
Interphase	PLLT0038_08--ex2005_06_15--sp2005_05_10--tt17--c5___P00250_01___T00053___X0547___Y0597
Interphase	PLLT0038_08--ex2005_06_15--sp2005_05_10--tt17--c5___P00250_01___T00053___X0158___Y0477
Interphase	PLLT0038_08--ex2005_06_15--sp2005_05_10--tt17--c5___P00250_01___T00053___X1047___Y0587
Interphase	PLLT0038_08--ex2005_06_15--sp2005_05_10--tt17--c5___P00250_01___T00053___X0778___Y0655
Interphase	PLLT0038_08--ex2005_06_15--sp2005_05_10--tt17--c5___P00250_01___T00053___X0877___Y0098
Interphase	PLLT0038_27--ex2005_06_17--sp2005_05_10--tt17--c4___P00250_01___T00007___X0902___Y0377
Interphase	PLLT0038_27--ex2005_06_17--sp2005_05_10--tt17--c4___P00250_01___T00007___X0955___Y0755
Interphase	PLLT0038_27--ex2005_06_17--sp2005_05_10--tt17--c4___P00250_01___T00007___X0386___Y0510
Interphase	PLLT0038_27--ex2005_06_17--sp2005_05_10--tt17--c4___P00250_01___T00007___X0696___Y0379
Interphase	PLLT0038_27--ex2005_06_17--sp2005_05_10--tt17--c4___P00250_01___T00007___X0920___Y0483
Interphase	PLLT0038_27--ex2005_06_17--sp2005_05_10--tt17--c4___P00250_01___T00007___X0920___Y0893
Interphase	PLLT0038_27--ex2005_06_17--sp2005_05_10--tt17--c4___P00250_01___T00007___X0948___Y0524
Interphase	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00025___X0859___Y0558
Interphase	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00026___X0767___Y0378
Interphase	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00026___X1103___Y0763
Interphase	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00026___X1124___Y0726
Interphase	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00026___X0928___Y0645
Interphase	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00026___X0801___Y0398
Interphase	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00026___X1078___Y0721
Interphase	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00031___X0312___Y0080
Interphase	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00031___X0290___Y0111
Interphase	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00031___X0400___Y0087
Interphase	PLLT0039_45--ex2005_07_06--sp2005_05_12--tt19--c3___P00281_01___T00031___X0350___Y0110
Interphase	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00049___X0166___Y0850
Interphase	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00049___X1307___Y0747
Interphase	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00049___X0137___Y0796
Interphase	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00049___X0398___Y0773
Interphase	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00049___X0938___Y0665
Interphase	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00049___X0183___Y0695
Interphase	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00049___X0893___Y0482
Interphase	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00049___X0507___Y0616
Interphase	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00049___X0806___Y0167
Interphase	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00049___X0872___Y0683
Interphase	PLLT0042_10--ex2005_06_24--sp2005_05_18--tt19--c3___P00144_01___T00049___X0110___Y0048
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00035___X0101___Y0301
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00035___X0273___Y0967
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00035___X0105___Y0191
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00035___X1077___Y0221
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00043___X0307___Y0385
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00051___X0968___Y0447
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00051___X0318___Y0024
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00051___X1024___Y0753
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00051___X0337___Y0158
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00054___X0900___Y0510
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00054___X0708___Y0390
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00054___X0521___Y0252
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00054___X0553___Y0270
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00054___X0579___Y0335
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00054___X1156___Y0191
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00054___X0234___Y0255
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00054___X0516___Y0159
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00063___X1167___Y0640
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00070___X0508___Y0465
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00070___X0557___Y0423
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00073___X0506___Y0465
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00073___X0175___Y0421
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00073___X0559___Y0425
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00083___X0565___Y0950
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00083___X0828___Y0600
Interphase	PLLT0043_48--ex2005_06_29--sp2005_05_19--tt163--c4___P00166_01___T00083___X0057___Y0420
Interphase	PLLT0044_36--ex2005_07_06--sp2005_05_19--tt19--c3___P00249_01___T00045___X0675___Y0898
Interphase	PLLT0044_36--ex2005_07_06--sp2005_05_19--tt19--c3___P00249_01___T00045___X1314___Y0947
Interphase	PLLT0044_36--ex2005_07_06--sp2005_05_19--tt19--c3___P00249_01___T00045___X0940___Y0909
Interphase	PLLT0044_36--ex2005_07_06--sp2005_05_19--tt19--c3___P00249_01___T00045___X0451___Y0394
Interphase	PLLT0044_36--ex2005_07_06--sp2005_05_19--tt19--c3___P00249_01___T00045___X1151___Y0088
Interphase	PLLT0046_19--ex2005_06_08--sp2005_01_01--tt17--c4___P00356_01___T00056___X0881___Y0560
Interphase	PLLT0046_19--ex2005_06_08--sp2005_01_01--tt17--c4___P00356_01___T00056___X0935___Y0522
Interphase	PLLT0046_19--ex2005_06_08--sp2005_01_01--tt17--c4___P00356_01___T00056___X1005___Y0546
Interphase	PLLT0046_19--ex2005_06_08--sp2005_01_01--tt17--c4___P00356_01___T00056___X0970___Y0573
Interphase	PLLT0046_19--ex2005_06_08--sp2005_01_01--tt17--c4___P00356_01___T00091___X0854___Y0211
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00067___X0845___Y0987
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00067___X0610___Y0930
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00067___X0682___Y0733
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00067___X0677___Y0979
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00067___X0998___Y0855
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00067___X0749___Y0739
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00067___X0782___Y0306
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00067___X1043___Y0848
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00067___X0734___Y0286
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00074___X0468___Y0654
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00074___X0980___Y0953
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00074___X0438___Y0598
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00074___X0862___Y0977
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00074___X1230___Y0315
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00074___X0613___Y0925
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00074___X0473___Y0397
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00074___X0440___Y0551
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00074___X0446___Y0501
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00074___X0427___Y0636
Interphase	PLLT0047_27--ex2005_06_29--sp2005_05_23--tt18--c3___P00140_01___T00074___X0430___Y0433
Interphase	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00006___X0567___Y0180
Interphase	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00006___X0522___Y0199
Interphase	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00006___X0423___Y0291
Interphase	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00006___X0618___Y0752
Interphase	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00006___X0579___Y0734
Interphase	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00013___X0173___Y0713
Interphase	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00013___X0221___Y0710
Interphase	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00071___X1101___Y0284
Interphase	PLLT0048_13--ex2005_06_24--sp2005_05_23--tt19--c3___P00069_01___T00071___X0895___Y0304
Interphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X1132___Y0334
Interphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X1259___Y0349
Interphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0771___Y0232
Interphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0032___Y0314
Interphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0745___Y0383
Interphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X1282___Y0926
Interphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X1206___Y0300
Interphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0264___Y0164
Interphase	PLLT0048_14--ex2005_06_29--sp2005_05_23--tt18--c3___P00335_01___T00012___X0344___Y0639
Interphase	PLLT0065_04--ex2006_02_03--sp2005_06_07--tt17--c5___P00020_01___T00071___X0650___Y0623
Interphase	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00008___X0233___Y0509
Interphase	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00008___X0192___Y0661
Interphase	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00008___X0487___Y0462
Interphase	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00008___X1282___Y0532
Interphase	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00008___X0080___Y0203
Interphase	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00008___X1126___Y0343
Interphase	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00008___X0212___Y0170
Interphase	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00008___X0187___Y0623
Interphase	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00008___X1190___Y0408
Interphase	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00008___X1145___Y0361
Interphase	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00008___X0857___Y0454
Interphase	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00008___X1286___Y0308
Interphase	PLLT0066_19--ex2005_07_22--sp2005_06_07--tt173--c5___P00287_01___T00008___X0124___Y0622
